time,region,min,max,mean
2024-07-16 16:30:00,East Delta,0.0,0.1,0.0
2024-07-16 16:30:00,Lower Sacramento River,0.1,0.8,0.3
2024-07-16 16:30:00,South Delta,0.0,0.8,0.1
2024-07-16 16:30:00,Suisun Marsh,0.3,7.8,3.9
2024-07-16 16:30:00,Confluence,0.2,2.4,1.1
2024-07-16 16:30:00,Lower San Joaquin River,0.1,0.6,0.2
2024-07-16 16:30:00,SW Suisun,8.6,14.9,12.2
2024-07-16 16:30:00,SE Suisun,1.9,13.1,5.2
2024-07-16 16:30:00,NE Suisun,1.3,9.7,5.1
2024-07-16 16:30:00,NW Suisun,4.1,13.5,8.0
2024-07-17 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-07-17 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-17 16:30:00,East Delta,0.0,0.1,0.0
2024-07-17 16:30:00,Lower Sacramento River,0.1,0.8,0.3
2024-07-17 16:30:00,South Delta,0.0,0.8,0.1
2024-07-17 16:30:00,Suisun Marsh,0.3,7.8,3.9
2024-07-17 16:30:00,Confluence,0.1,3.7,1.1
2024-07-17 16:30:00,Lower San Joaquin River,0.1,0.6,0.2
2024-07-17 16:30:00,SW Suisun,8.5,14.6,12.2
2024-07-17 16:30:00,SE Suisun,1.9,13.3,5.2
2024-07-17 16:30:00,NE Suisun,1.3,9.7,5.0
2024-07-17 16:30:00,NW Suisun,1.7,13.2,7.8
2024-07-18 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-07-18 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-18 16:30:00,East Delta,0.0,0.1,0.0
2024-07-18 16:30:00,Lower Sacramento River,0.1,0.8,0.3
2024-07-18 16:30:00,South Delta,0.0,0.8,0.1
2024-07-18 16:30:00,Suisun Marsh,0.3,7.6,3.9
2024-07-18 16:30:00,Confluence,0.1,4.0,1.1
2024-07-18 16:30:00,Lower San Joaquin River,0.1,0.6,0.2
2024-07-18 16:30:00,SW Suisun,8.6,14.3,12.1
2024-07-18 16:30:00,SE Suisun,2.0,12.6,5.3
2024-07-18 16:30:00,NE Suisun,1.3,9.7,4.9
2024-07-18 16:30:00,NW Suisun,1.7,13.5,7.6
2024-07-19 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-07-19 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-19 16:30:00,East Delta,0.0,0.1,0.0
2024-07-19 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-07-19 16:30:00,South Delta,0.0,0.8,0.1
2024-07-19 16:30:00,Suisun Marsh,0.3,7.7,3.9
2024-07-19 16:30:00,Confluence,0.2,4.3,1.2
2024-07-19 16:30:00,Lower San Joaquin River,0.1,0.6,0.2
2024-07-19 16:30:00,SW Suisun,8.9,14.5,12.2
2024-07-19 16:30:00,SE Suisun,2.2,13.5,5.6
2024-07-19 16:30:00,NE Suisun,1.3,10.2,5.1
2024-07-19 16:30:00,NW Suisun,1.7,13.3,7.6
2024-07-20 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-07-20 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-20 16:30:00,East Delta,0.0,0.1,0.0
2024-07-20 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-07-20 16:30:00,South Delta,0.0,0.8,0.1
2024-07-20 16:30:00,Suisun Marsh,0.3,7.8,4.0
2024-07-20 16:30:00,Confluence,0.1,4.3,1.3
2024-07-20 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-20 16:30:00,SW Suisun,8.9,14.2,12.1
2024-07-20 16:30:00,SE Suisun,2.3,13.7,5.7
2024-07-20 16:30:00,NE Suisun,1.3,10.5,5.2
2024-07-20 16:30:00,NW Suisun,1.8,13.5,7.6
2024-07-21 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-07-21 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-21 16:30:00,East Delta,0.0,0.1,0.0
2024-07-21 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-07-21 16:30:00,South Delta,0.0,0.8,0.1
2024-07-21 16:30:00,Suisun Marsh,0.3,7.6,4.0
2024-07-21 16:30:00,Confluence,0.1,3.8,1.3
2024-07-21 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-21 16:30:00,SW Suisun,9.0,14.0,11.9
2024-07-21 16:30:00,SE Suisun,2.3,13.3,5.7
2024-07-21 16:30:00,NE Suisun,1.3,10.0,5.3
2024-07-21 16:30:00,NW Suisun,1.9,13.6,7.6
2024-07-22 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-07-22 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-22 16:30:00,East Delta,0.0,0.1,0.0
2024-07-22 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-07-22 16:30:00,South Delta,0.0,0.8,0.1
2024-07-22 16:30:00,Suisun Marsh,0.3,7.5,4.1
2024-07-22 16:30:00,Confluence,0.1,3.8,1.4
2024-07-22 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-22 16:30:00,SW Suisun,8.9,14.1,12.0
2024-07-22 16:30:00,SE Suisun,2.4,12.2,5.8
2024-07-22 16:30:00,NE Suisun,1.3,9.1,5.4
2024-07-22 16:30:00,NW Suisun,1.9,12.7,7.7
2024-07-23 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-07-23 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-23 16:30:00,East Delta,0.0,0.1,0.0
2024-07-23 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-07-23 16:30:00,South Delta,0.0,0.8,0.1
2024-07-23 16:30:00,Suisun Marsh,0.4,7.1,4.1
2024-07-23 16:30:00,Confluence,0.2,3.6,1.4
2024-07-23 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-23 16:30:00,SW Suisun,9.0,14.4,12.1
2024-07-23 16:30:00,SE Suisun,2.4,11.5,5.7
2024-07-23 16:30:00,NE Suisun,1.3,8.7,5.4
2024-07-23 16:30:00,NW Suisun,1.9,12.8,7.7
2024-07-24 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-07-24 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-24 16:30:00,East Delta,0.0,0.1,0.0
2024-07-24 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-07-24 16:30:00,South Delta,0.0,0.8,0.1
2024-07-24 16:30:00,Suisun Marsh,0.4,6.8,4.0
2024-07-24 16:30:00,Confluence,0.2,2.7,1.3
2024-07-24 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-24 16:30:00,SW Suisun,8.6,14.3,11.9
2024-07-24 16:30:00,SE Suisun,2.2,9.8,5.4
2024-07-24 16:30:00,NE Suisun,1.3,8.4,5.2
2024-07-24 16:30:00,NW Suisun,5.1,12.7,7.6
2024-07-25 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-07-25 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-25 16:30:00,East Delta,0.0,0.1,0.0
2024-07-25 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-07-25 16:30:00,South Delta,0.0,0.8,0.1
2024-07-25 16:30:00,Suisun Marsh,0.4,6.9,4.2
2024-07-25 16:30:00,Confluence,0.2,2.8,1.3
2024-07-25 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-25 16:30:00,SW Suisun,8.9,14.9,12.4
2024-07-25 16:30:00,SE Suisun,2.3,11.1,5.6
2024-07-25 16:30:00,NE Suisun,1.3,8.6,5.1
2024-07-25 16:30:00,NW Suisun,5.4,13.4,7.7
2024-07-26 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-07-26 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-26 16:30:00,East Delta,0.0,0.1,0.0
2024-07-26 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-07-26 16:30:00,South Delta,0.0,0.8,0.1
2024-07-26 16:30:00,Suisun Marsh,0.4,6.8,4.2
2024-07-26 16:30:00,Confluence,0.2,2.7,1.3
2024-07-26 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-26 16:30:00,SW Suisun,8.9,15.0,12.4
2024-07-26 16:30:00,SE Suisun,2.4,11.6,5.5
2024-07-26 16:30:00,NE Suisun,1.4,8.5,5.2
2024-07-26 16:30:00,NW Suisun,5.1,13.5,7.7
2024-07-27 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-07-27 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-27 16:30:00,East Delta,0.0,0.1,0.0
2024-07-27 16:30:00,Lower Sacramento River,0.1,0.8,0.3
2024-07-27 16:30:00,South Delta,0.0,0.8,0.1
2024-07-27 16:30:00,Suisun Marsh,0.4,7.1,4.2
2024-07-27 16:30:00,Confluence,0.2,2.6,1.2
2024-07-27 16:30:00,Lower San Joaquin River,0.1,0.6,0.2
2024-07-27 16:30:00,SW Suisun,8.5,14.7,12.1
2024-07-27 16:30:00,SE Suisun,2.2,12.2,5.3
2024-07-27 16:30:00,NE Suisun,1.4,8.3,5.0
2024-07-27 16:30:00,NW Suisun,5.0,13.3,7.7
2024-07-28 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-07-28 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-28 16:30:00,East Delta,0.0,0.1,0.0
2024-07-28 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-07-28 16:30:00,South Delta,0.0,0.8,0.1
2024-07-28 16:30:00,Suisun Marsh,0.4,7.6,4.3
2024-07-28 16:30:00,Confluence,0.2,3.7,1.3
2024-07-28 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-28 16:30:00,SW Suisun,8.8,14.8,12.3
2024-07-28 16:30:00,SE Suisun,2.2,12.8,5.4
2024-07-28 16:30:00,NE Suisun,1.4,9.8,5.2
2024-07-28 16:30:00,NW Suisun,5.0,13.5,7.8
2024-07-29 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-07-29 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-29 16:30:00,East Delta,0.0,0.1,0.0
2024-07-29 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-07-29 16:30:00,South Delta,0.0,0.8,0.1
2024-07-29 16:30:00,Suisun Marsh,0.4,7.9,4.3
2024-07-29 16:30:00,Confluence,0.2,3.7,1.3
2024-07-29 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-29 16:30:00,SW Suisun,8.9,14.9,12.4
2024-07-29 16:30:00,SE Suisun,2.2,13.1,5.6
2024-07-29 16:30:00,NE Suisun,1.4,10.1,5.3
2024-07-29 16:30:00,NW Suisun,5.0,13.4,7.8
2024-07-30 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-07-30 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-30 16:30:00,East Delta,0.0,0.1,0.0
2024-07-30 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-07-30 16:30:00,South Delta,0.0,0.8,0.1
2024-07-30 16:30:00,Suisun Marsh,0.4,7.7,4.4
2024-07-30 16:30:00,Confluence,0.2,4.1,1.3
2024-07-30 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-30 16:30:00,SW Suisun,9.1,14.9,12.5
2024-07-30 16:30:00,SE Suisun,2.3,13.2,5.7
2024-07-30 16:30:00,NE Suisun,1.4,10.3,5.3
2024-07-30 16:30:00,NW Suisun,2.0,13.4,7.8
2024-07-31 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-07-31 16:30:00,Sacramento River,0.0,0.1,0.0
2024-07-31 16:30:00,East Delta,0.0,0.1,0.0
2024-07-31 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-07-31 16:30:00,South Delta,0.0,0.8,0.1
2024-07-31 16:30:00,Suisun Marsh,0.4,7.3,4.4
2024-07-31 16:30:00,Confluence,0.2,3.8,1.3
2024-07-31 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-07-31 16:30:00,SW Suisun,9.0,14.6,12.3
2024-07-31 16:30:00,SE Suisun,2.3,12.7,5.7
2024-07-31 16:30:00,NE Suisun,1.4,9.8,5.4
2024-07-31 16:30:00,NW Suisun,1.9,13.2,7.8
2024-08-01 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-08-01 16:30:00,Sacramento River,0.0,0.1,0.0
2024-08-01 16:30:00,East Delta,0.0,0.1,0.0
2024-08-01 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-08-01 16:30:00,South Delta,0.0,0.9,0.1
2024-08-01 16:30:00,Suisun Marsh,0.4,7.3,4.4
2024-08-01 16:30:00,Confluence,0.2,4.1,1.3
2024-08-01 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-01 16:30:00,SW Suisun,8.7,14.2,12.0
2024-08-01 16:30:00,SE Suisun,2.3,13.2,5.5
2024-08-01 16:30:00,NE Suisun,1.4,9.5,5.3
2024-08-01 16:30:00,NW Suisun,4.8,13.1,7.6
2024-08-02 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-08-02 16:30:00,Sacramento River,0.0,0.1,0.0
2024-08-02 16:30:00,East Delta,0.0,0.1,0.0
2024-08-02 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-08-02 16:30:00,South Delta,0.0,0.9,0.1
2024-08-02 16:30:00,Suisun Marsh,0.4,7.2,4.4
2024-08-02 16:30:00,Confluence,0.2,3.7,1.3
2024-08-02 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-02 16:30:00,SW Suisun,8.8,14.2,12.0
2024-08-02 16:30:00,SE Suisun,2.3,13.1,5.6
2024-08-02 16:30:00,NE Suisun,1.4,9.6,5.3
